# camberline.x, camberline.y, pressureLine.x, pressureLine.y, suctionLine.x, suctionLine.y
7.199695849279575954e-01 3.051371020183246685e-02 7.084828409588976861e-01 1.072109390662704526e-01 7.314563288970175048e-01 -4.618351866260551886e-02
7.339649071302866146e-01 4.836086326401828339e-02 7.226448953278212795e-01 1.237004012198800323e-01 7.452849189327519497e-01 -2.697867469184347250e-02
7.477293342162038003e-01 6.678724244438827284e-02 7.365676088853936321e-01 1.407051200315672101e-01 7.588910595470139686e-01 -7.130635142790675736e-03
7.612492823579743995e-01 8.574469751397856276e-02 7.502339831628705991e-01 1.581687338079975635e-01 7.722645815530781999e-01 1.332066121995957933e-02
7.745114089990658979e-01 1.051813905620335721e-01 7.636280412347919988e-01 1.760313076620406425e-01 7.853947767633397969e-01 3.433147346202650163e-02
7.875026260216391183e-01 1.250419511325479571e-01 7.767347552307202196e-01 1.942297721560001522e-01 7.982704968125580169e-01 5.585413010909578285e-02
8.002101126629419525e-01 1.452676578164928678e-01 7.895399803132614469e-01 2.126983893984260576e-01 8.108802450126224581e-01 7.783692623455967796e-02
8.126213281678524858e-01 1.657966459057100828e-01 8.020303960607798599e-01 2.313692423069158011e-01 8.232122602749251117e-01 1.002240495045043506e-01
8.247240241650917181e-01 1.865641404852717566e-01 8.141934550720689723e-01 2.501727413928728772e-01 8.352545932581144639e-01 1.229555395776706084e-01
8.365062567548865458e-01 2.075027141111186468e-01 8.260173378696871183e-01 2.690381423194458943e-01 8.469951756400859733e-01 1.459672859027913716e-01
8.479563982961570989e-01 2.285425679913127284e-01 8.374909127685875587e-01 2.878940666984566299e-01 8.584218838237266391e-01 1.691910692841688546e-01
8.590631488815942962e-01 2.496118353644855570e-01 8.486036992396884804e-01 3.066690181583451302e-01 8.695225985235001120e-01 1.925546525706259837e-01
8.698155474893048966e-01 2.706369055503233256e-01 8.593458333752090894e-01 3.252918856372478129e-01 8.802852616034007038e-01 2.159819254633988383e-01
8.802029828000155209e-01 2.915427669364112906e-01 8.697080342964422783e-01 3.436924261157957017e-01 8.906979313035887635e-01 2.393931077570268517e-01
8.902152036691648451e-01 3.122533669656976651e-01 8.796815706812792790e-01 3.618017195695830135e-01 9.007488366570504112e-01 2.627050143618123168e-01
8.998423292435453469e-01 3.326919870012746139e-01 8.892582269790957339e-01 3.795525897465900633e-01 9.104264315079949599e-01 2.858313842559591644e-01
9.090748587125118130e-01 3.527816297722169980e-01 8.984302692811788615e-01 3.968799854081339618e-01 9.197194481438447644e-01 3.086832741363000343e-01
9.179036806841349705e-01 3.724454169477044441e-01 9.071904111887092448e-01 4.137213178571911842e-01 9.286169501795606962e-01 3.311695160382177039e-01
9.263200821770460891e-01 3.916069942483857980e-01 9.155317803374248831e-01 4.300167518584732673e-01 9.371083840166672951e-01 3.531972366382983286e-01
9.343157572190955440e-01 4.101909413855057696e-01 9.234478864759143590e-01 4.457094483752552794e-01 9.451836279622767290e-01 3.746724343957562597e-01
9.418828150443467884e-01 4.281231840211941475e-01 9.309325921381564894e-01 4.607457588572503315e-01 9.528330379505370873e-01 3.955006091851379635e-01
