# camberline.x, camberline.y, pressureLine.x, pressureLine.y, suctionLine.x, suctionLine.y
9.778965073991650048e-01 5.356894403534243621e-01 9.778629836048051693e-01 5.376209651179228999e-01 9.779311899534193220e-01 5.311971698949519149e-01
9.822787092288990385e-01 5.465130889896092636e-01 9.822453707628812092e-01 5.481273146121643514e-01 9.823125343976253365e-01 5.432289560291827524e-01
9.861849601988382785e-01 5.562993903153398145e-01 9.861516675258410469e-01 5.576051481545664101e-01 9.862184352684668642e-01 5.539656955814989958e-01
9.896114053108828745e-01 5.649919045153909414e-01 9.895780742409938657e-01 5.660067476576443601e-01 9.896447954498190924e-01 5.633892473945034673e-01
9.925546630773869339e-01 5.725400784393905873e-01 9.925212517138645163e-01 5.732895623893689008e-01 9.925880901951584789e-01 5.714857607040392251e-01
9.950118288582787685e-01 5.788996983649377093e-01 9.949783249957306897e-01 5.794165197561216285e-01 9.950453359238486950e-01 5.782449498960099410e-01
9.969804777275897978e-01 5.840332883679830722e-01 9.969468879802969585e-01 5.843562974426580459e-01 9.970140679080855550e-01 5.836594141118491841e-01
9.984586668665640374e-01 5.879104496741019981e-01 9.984250082783638902e-01 5.880835543465764426e-01 9.984923254843361962e-01 5.877240275943571568e-01
9.994449374809849518e-01 5.905081370345237612e-01 9.994112318533205919e-01 5.905791180955587416e-01 9.994786431091483569e-01 5.904354233723546619e-01
9.999383162408302939e-01 5.918108688951223550e-01 9.999045869522310559e-01 5.918301273260360151e-01 9.999720455294296428e-01 5.917915890328129258e-01
1.000000000000000000e+00 5.919738929845458353e-01 9.999662677522581644e-01 5.919866549973399339e-01 1.000033732247741947e+00 5.919611309717517367e-01
