#     x             y        x_tangent     y_tangent     x_normal      y_normal
+1.00158E-01  -1.07402E-01  +7.28287E-01  -6.85272E-01  +6.85272E-01  +7.28287E-01
+1.02052E-01  -1.09179E-01  +7.30233E-01  -6.83198E-01  +6.83198E-01  +7.30233E-01
+1.03962E-01  -1.10961E-01  +7.32206E-01  -6.81083E-01  +6.81083E-01  +7.32206E-01
+1.05887E-01  -1.12746E-01  +7.34207E-01  -6.78926E-01  +6.78926E-01  +7.34207E-01
+1.07828E-01  -1.14536E-01  +7.36235E-01  -6.76726E-01  +6.76726E-01  +7.36235E-01
+1.09785E-01  -1.16329E-01  +7.38291E-01  -6.74482E-01  +6.74482E-01  +7.38291E-01
+1.11757E-01  -1.18125E-01  +7.40375E-01  -6.72194E-01  +6.72194E-01  +7.40375E-01
+1.13744E-01  -1.19923E-01  +7.42487E-01  -6.69860E-01  +6.69860E-01  +7.42487E-01
+1.15747E-01  -1.21724E-01  +7.44627E-01  -6.67481E-01  +6.67481E-01  +7.44627E-01
+1.17764E-01  -1.23527E-01  +7.46795E-01  -6.65054E-01  +6.65054E-01  +7.46795E-01
+1.19797E-01  -1.25331E-01  +7.48991E-01  -6.62580E-01  +6.62580E-01  +7.48991E-01
+1.21845E-01  -1.27137E-01  +7.51216E-01  -6.60057E-01  +6.60057E-01  +7.51216E-01
+1.23908E-01  -1.28943E-01  +7.53469E-01  -6.57484E-01  +6.57484E-01  +7.53469E-01
+1.25985E-01  -1.30750E-01  +7.55750E-01  -6.54860E-01  +6.54860E-01  +7.55750E-01
+1.28077E-01  -1.32556E-01  +7.58060E-01  -6.52185E-01  +6.52185E-01  +7.58060E-01
+1.30184E-01  -1.34362E-01  +7.60398E-01  -6.49458E-01  +6.49458E-01  +7.60398E-01
+1.32306E-01  -1.36168E-01  +7.62764E-01  -6.46676E-01  +6.46676E-01  +7.62764E-01
+1.34442E-01  -1.37972E-01  +7.65160E-01  -6.43841E-01  +6.43841E-01  +7.65160E-01
+1.36593E-01  -1.39775E-01  +7.67583E-01  -6.40949E-01  +6.40949E-01  +7.67583E-01
+1.38758E-01  -1.41575E-01  +7.70035E-01  -6.38001E-01  +6.38001E-01  +7.70035E-01
+1.40937E-01  -1.43374E-01  +7.72516E-01  -6.34996E-01  +6.34996E-01  +7.72516E-01
+1.43130E-01  -1.45169E-01  +7.75025E-01  -6.31931E-01  +6.31931E-01  +7.75025E-01
+1.45338E-01  -1.46962E-01  +7.77562E-01  -6.28807E-01  +6.28807E-01  +7.77562E-01
+1.47559E-01  -1.48751E-01  +7.80127E-01  -6.25621E-01  +6.25621E-01  +7.80127E-01
+1.49794E-01  -1.50536E-01  +7.82720E-01  -6.22374E-01  +6.22374E-01  +7.82720E-01
+1.52044E-01  -1.52317E-01  +7.85342E-01  -6.19063E-01  +6.19063E-01  +7.85342E-01
+1.54307E-01  -1.54092E-01  +7.87991E-01  -6.15687E-01  +6.15687E-01  +7.87991E-01
+1.56583E-01  -1.55863E-01  +7.90668E-01  -6.12246E-01  +6.12246E-01  +7.90668E-01
